,0,1,2,3,4
0,,,,,
1,Time (CET/CEST),Aggregated Nominations [MW],Aggregated Nominations [MW],Netted Nominations [MW],Netted Nominations [MW]
2,Time (CET/CEST),NLGB,GBNL,Flow,Direction
,0,1,2,3,4
0,,,,,
1,00:00 - 01:00,1076.0,108.0,968.0,NLGB
2,01:00 - 02:00,1076.0,109.0,967.0,NLGB
3,02:00 - 03:00,1016.0,49.0,967.0,NLGB
4,03:00 - 04:00,1016.0,49.0,967.0,NLGB
5,04:00 - 05:00,1016.0,49.0,967.0,NLGB
6,05:00 - 06:00,1016.0,49.0,967.0,NLGB
7,06:00 - 07:00,1007.0,595.0,412.0,NLGB
8,07:00 - 08:00,1029.0,412.0,617.0,NLGB
9,08:00 - 09:00,1016.0,83.0,933.0,NLGB
10,09:00 - 10:00,1016.0,0.0,1016.0,NLGB
11,10:00 - 11:00,1016.0,0.0,1016.0,NLGB
12,11:00 - 12:00,1016.0,0.0,1016.0,NLGB
13,12:00 - 13:00,1076.0,0.0,1076.0,NLGB
14,13:00 - 14:00,1076.0,0.0,1076.0,NLGB
15,14:00 - 15:00,1016.0,0.0,1016.0,NLGB
16,15:00 - 16:00,1016.0,0.0,1016.0,NLGB
17,16:00 - 17:00,1016.0,0.0,1016.0,NLGB
18,17:00 - 18:00,1016.0,0.0,1016.0,NLGB
19,18:00 - 19:00,1076.0,0.0,1076.0,NLGB
20,19:00 - 20:00,1076.0,0.0,1076.0,NLGB
21,20:00 - 21:00,1016.0,0.0,1016.0,NLGB
22,21:00 - 22:00,1016.0,0.0,1016.0,NLGB
23,22:00 - 23:00,1016.0,0.0,1016.0,NLGB
24,23:00 - 00:00,1016.0,0.0,1016.0,NLGB
